participante,id_participante,jogo,fase,data,selecao_1,palpite_1,palpite_2,selecao_2,status
Carrion,carrion,70,Fase de Grupos,2026-06-23,Panamá,1,1,Croácia,OK
Carrion,carrion,71,Fase de Grupos,2026-06-27,Panamá,1,3,Inglaterra,OK
Carrion,carrion,72,Fase de Grupos,2026-06-27,Croácia,2,2,Gana,OK
Carrion,carrion,73,16 avos,2026-06-28,South Africa,1,2,Canada,OK
Carrion,carrion,74,16 avos,2026-06-29,Brasil,2,1,Japan,OK
Carrion,carrion,75,16 avos,2026-06-29,Germany,3,0,Paraguay,OK
Carrion,carrion,76,16 avos,2026-06-29,Netherlands,1,1,Morocco,OK
Carrion,carrion,77,16 avos,2026-06-30,Côte d'Ivoire,0,2,Norway,OK
Carrion,carrion,78,16 avos,2026-06-30,França,3,1,Sweden,OK
Carrion,carrion,79,16 avos,2026-06-30,Mexico,1,1,Equador,OK
Carrion,carrion,80,16 avos,2026-07-01,England,3,1,RD Congo,OK
Carrion,carrion,81,16 avos,2026-07-01,Belgium,1,0,Senegal,OK
Carrion,carrion,82,16 avos,2026-07-01,USA,1,0,Bósnia,OK
Carrion,carrion,83,16 avos,2026-07-02,Spain,2,0,Áustria,OK
Carrion,carrion,84,16 avos,2026-07-02,Portugal,1,1,Croácia,OK
Carrion,carrion,85,16 avos,2026-07-03,Switzerland,2,1,Argélia,OK
Carrion,carrion,86,16 avos,2026-07-03,Australia,1,3,Egito,OK
Carrion,carrion,87,16 avos,2026-07-03,Argentina,5,0,Cape Verde,OK
Carrion,carrion,88,16 avos,2026-07-03,Colombia,2,0,Ghana,OK
Carrion,carrion,89,Oitavas,2026-07-04,Canada,1,2,Morocco,OK
Carrion,carrion,90,Oitavas,2026-07-04,Paraguay,1,3,França,OK
Carrion,carrion,91,Oitavas,2026-07-05,Brasil,2,1,Norway,OK
Carrion,carrion,92,Oitavas,2026-07-05,Mexico,1,1,England,OK
Carrion,carrion,93,Oitavas,2026-07-06,Portugal,0,1,Spain,OK
Carrion,carrion,94,Oitavas,2026-07-06,USA,1,2,Belgium,OK
Carrion,carrion,95,Oitavas,2026-07-07,Argentina,2,1,Egito,OK
Carrion,carrion,96,Oitavas,2026-07-07,Switzerland,0,1,Colombia,OK
Carrion,carrion,97,Quartas,2026-07-09,França,2,1,Morocco,OK
